Payment.Method,Railcard,Ticket.Class,Ticket.Type,Price,Departure.Station,Arrival.Station,Departure,Scheduled.Arrival,Actual.Arrival,Journey.Status,Reason.for.Delay,Refund.Request,Row_ID,MediumPrice
Credit Card,None,Standard,Off-Peak,11,York,Durham,2024-02-18 03:30:00,2024-02-18 04:20:00,2024-02-18 04:42,Delayed,Weather,0,14521,1
Credit Card,None,Standard,Off-Peak,53,London Kings Cross,York,2024-02-18 05:15:00,2024-02-18 07:05:00,,Cancelled,Staff-Related,0,14531,0
Credit Card,Disabled,Standard,Off-Peak,5,York,Doncaster,2024-02-18 06:30:00,2024-02-18 07:00:00,,Cancelled,Staff-Related,1,14537,0
Credit Card,Disabled,Standard,Off-Peak,71,London Euston,Manchester Piccadilly,2024-02-18 08:00:00,2024-02-18 09:50:00,,Cancelled,Traffic,0,14549,0
Debit Card,None,Standard,Off-Peak,107,London Euston,Manchester Piccadilly,2024-02-18 08:00:00,2024-02-18 09:50:00,,Cancelled,Traffic,1,14550,0
Contactless,None,First Class,Advance,57,London Kings Cross,York,2024-02-26 06:15:00,2024-02-26 08:05:00,2024-02-26 08:15,Delayed,Technical Issue,0,14575,0
Credit Card,None,Standard,Advance,18,London Paddington,Oxford,2024-02-29 07:45:00,2024-02-29 09:15:00,,Cancelled,Staff-Related,0,14585,1
Credit Card,Senior,Standard,Off-Peak,7,London Euston,Birmingham New Street,2024-02-18 09:45:00,2024-02-18 11:05:00,,Cancelled,Signal Failure,1,14593,0
Credit Card,None,First Class,Advance,118,Liverpool Lime Street,London Euston,2024-02-19 08:00:00,2024-02-19 10:15:00,2024-02-19 11:15,Delayed,Staff-Related,0,14595,0
Credit Card,None,Standard,Advance,76,Liverpool Lime Street,London Euston,2024-02-20 08:00:00,2024-02-20 10:15:00,2024-02-20 11:01,Delayed,Weather,0,14597,0
Credit Card,None,Standard,Advance,76,Liverpool Lime Street,London Euston,2024-02-21 08:00:00,2024-02-21 10:15:00,2024-02-21 11:07,Delayed,Weather,0,14599,0
Credit Card,None,Standard,Advance,76,Liverpool Lime Street,London Euston,2024-02-22 08:00:00,2024-02-22 10:15:00,2024-02-22 11:00,Delayed,Weather,0,14600,0
Credit Card,None,First Class,Advance,118,Liverpool Lime Street,London Euston,2024-02-19 08:00:00,2024-02-19 10:15:00,2024-02-19 11:15,Delayed,Staff-Related,0,14601,0
Debit Card,Adult,Standard,Off-Peak,11,Birmingham New Street,Manchester Piccadilly,2024-02-18 11:15:00,2024-02-18 12:35:00,2024-02-18 12:54,Delayed,Technical Issue,1,14608,1
Debit Card,Adult,Standard,Advance,2,Liverpool Lime Street,Manchester Piccadilly,2024-02-19 11:15:00,2024-02-19 11:45:00,2024-02-19 11:52,Delayed,Technical Issue,1,14612,0
Contactless,None,Standard,Advance,3,Manchester Piccadilly,Liverpool Lime Street,2024-02-29 11:00:00,2024-02-29 11:30:00,2024-02-29 12:21,Delayed,Staff-Related,0,14617,0
Contactless,None,Standard,Advance,3,Manchester Piccadilly,Liverpool Lime Street,2024-02-21 11:00:00,2024-02-21 11:30:00,2024-02-21 14:11,Delayed,Staff-Related,0,14619,0
Credit Card,Senior,Standard,Off-Peak,3,Manchester Piccadilly,Liverpool Lime Street,2024-02-18 14:45:00,2024-02-18 15:15:00,,Cancelled,Weather,0,14623,0
Debit Card,None,Standard,Advance,29,Edinburgh Waverley,London Kings Cross,2024-02-19 15:30:00,2024-02-19 19:50:00,2024-02-19 20:01,Delayed,Staff-Related,1,14646,1
Credit Card,Disabled,Standard,Advance,4,London Euston,Birmingham New Street,2024-02-24 15:30:00,2024-02-24 16:50:00,,Cancelled,Weather,0,14653,0
Debit Card,Disabled,Standard,Advance,4,London Euston,Birmingham New Street,2024-02-27 16:00:00,2024-02-27 17:20:00,2024-02-27 18:19,Delayed,Weather,0,14662,0
Debit Card,Disabled,Standard,Advance,4,London Euston,Birmingham New Street,2024-02-27 16:00:00,2024-02-27 17:20:00,2024-02-27 18:19,Delayed,Weather,0,14663,0
Debit Card,Adult,Standard,Advance,50,Liverpool Lime Street,London Euston,2024-02-20 17:30:00,2024-02-20 19:45:00,2024-02-20 19:47,Delayed,Technical Issue,1,14669,0
Contactless,Adult,Standard,Advance,50,Liverpool Lime Street,London Euston,2024-02-20 17:30:00,2024-02-20 19:45:00,2024-02-20 19:47,Delayed,Technical Issue,0,14676,0
Credit Card,Senior,Standard,Advance,2,Manchester Piccadilly,Liverpool Lime Street,2024-02-19 18:45:00,2024-02-19 19:15:00,,Cancelled,Staff-Related,0,14679,0
Credit Card,None,Standard,Advance,7,Birmingham New Street,Nuneaton,2024-02-21 18:45:00,2024-02-21 19:05:00,,Cancelled,Staff-Related,0,14691,0
Contactless,None,Standard,Advance,35,London Kings Cross,York,2024-02-27 17:45:00,2024-02-27 19:35:00,2024-02-27 19:54,Delayed,Signal Failure,0,14697,0
Credit Card,None,Standard,Advance,13,London Paddington,Reading,2024-02-26 20:00:00,2024-02-26 21:00:00,,Cancelled,Signal Failure,0,14707,1
Credit Card,Adult,Standard,Advance,51,Liverpool Lime Street,London Paddington,2024-02-20 03:00:00,2024-02-20 05:30:00,2024-02-20 05:56,Delayed,Staff-Related,1,14741,0
Contactless,Adult,Standard,Off-Peak,12,Manchester Piccadilly,Nottingham,2024-02-19 09:00:00,2024-02-19 10:00:00,2024-02-19 10:57,Delayed,Signal Failure,0,14759,1
Debit Card,Senior,Standard,Advance,3,Reading,Didcot,2024-02-27 06:15:00,2024-02-27 06:30:00,,Cancelled,Signal Failure,1,14762,0
Credit Card,Disabled,Standard,Advance,15,Birmingham New Street,London St Pancras,2024-02-22 06:30:00,2024-02-22 07:50:00,,Cancelled,Weather,1,14766,1
Contactless,None,Standard,Advance,13,London Paddington,Reading,2024-02-21 06:45:00,2024-02-21 07:45:00,,Cancelled,Weather,1,14773,1
Credit Card,None,Standard,Advance,76,Liverpool Lime Street,London Euston,2024-02-20 08:00:00,2024-02-20 10:15:00,2024-02-20 11:01,Delayed,Weather,0,14782,0
Credit Card,None,Standard,Advance,84,Manchester Piccadilly,London Euston,2024-02-26 08:00:00,2024-02-26 09:50:00,2024-02-26 10:44,Delayed,Weather,0,14784,0
Contactless,Adult,First Class,Advance,10,Manchester Piccadilly,Leeds,2024-02-27 09:00:00,2024-02-27 09:45:00,2024-02-27 12:27,Delayed,Signal Failure,0,14789,0
Debit Card,Adult,Standard,Advance,7,Birmingham New Street,Manchester Piccadilly,2024-02-28 11:15:00,2024-02-28 12:35:00,2024-02-28 12:52,Delayed,Technical Issue,1,14797,0
Contactless,None,First Class,Advance,10,Manchester Piccadilly,Liverpool Lime Street,2024-02-20 11:00:00,2024-02-20 11:30:00,2024-02-20 14:01,Delayed,Staff-Related,0,14805,0
Contactless,None,Standard,Advance,8,London St Pancras,Birmingham New Street,2024-02-22 12:00:00,2024-02-22 13:20:00,,Cancelled,Staff-Related,0,14808,0
Contactless,None,Standard,Advance,8,London St Pancras,Birmingham New Street,2024-02-22 12:00:00,2024-02-22 13:20:00,,Cancelled,Staff-Related,0,14809,0
Contactless,None,Standard,Advance,13,London Paddington,Reading,2024-02-25 13:45:00,2024-02-25 14:45:00,,Cancelled,Staff-Related,1,14831,1
Credit Card,Adult,First Class,Advance,35,London Euston,Birmingham New Street,2024-02-27 16:00:00,2024-02-27 17:20:00,2024-02-27 18:19,Delayed,Weather,0,14848,0
Debit Card,Adult,Standard,Advance,56,Manchester Piccadilly,London Euston,2024-02-20 17:30:00,2024-02-20 19:20:00,2024-02-20 19:22,Delayed,Technical Issue,1,14856,0
Credit Card,Senior,Standard,Anytime,3,Manchester Piccadilly,Liverpool Lime Street,2024-02-19 18:45:00,2024-02-19 19:15:00,,Cancelled,Staff-Related,0,14858,0
Credit Card,Disabled,Standard,Off-Peak,13,London Paddington,Reading,2024-02-20 05:15:00,2024-02-20 06:15:00,,Cancelled,Signal Failure,1,14904,1
Credit Card,None,Standard,Advance,8,York,Durham,2024-02-28 03:30:00,2024-02-28 04:20:00,2024-02-28 05:11,Delayed,Weather,0,14913,0
Contactless,None,Standard,Anytime,6,Liverpool Lime Street,Manchester Piccadilly,2024-02-20 07:15:00,2024-02-20 07:45:00,,Cancelled,Technical Issue,0,14920,0
Credit Card,None,Standard,Anytime,168,Manchester Piccadilly,London Euston,2024-02-20 08:00:00,2024-02-20 09:50:00,2024-02-20 10:35,Delayed,Weather,0,14924,0
Credit Card,None,Standard,Anytime,151,Liverpool Lime Street,London Euston,2024-02-20 08:00:00,2024-02-20 10:15:00,2024-02-20 11:01,Delayed,Weather,0,14925,0
Credit Card,None,Standard,Anytime,168,Manchester Piccadilly,London Euston,2024-02-20 08:00:00,2024-02-20 09:50:00,2024-02-20 10:35,Delayed,Weather,0,14926,0
Credit Card,None,Standard,Advance,18,London Paddington,Oxford,2024-02-22 07:45:00,2024-02-22 09:15:00,,Cancelled,Weather,0,14948,1
Contactless,None,Standard,Advance,13,London Paddington,Reading,2024-02-21 06:45:00,2024-02-21 07:45:00,,Cancelled,Weather,0,14949,1
Credit Card,None,Standard,Advance,13,London Paddington,Reading,2024-02-21 07:45:00,2024-02-21 08:45:00,,Cancelled,Weather,0,14954,1
Credit Card,None,Standard,Advance,76,Liverpool Lime Street,London Euston,2024-02-21 08:00:00,2024-02-21 10:15:00,2024-02-21 11:07,Delayed,Weather,0,14960,0
Credit Card,None,Standard,Advance,76,Liverpool Lime Street,London Euston,2024-02-29 08:00:00,2024-02-29 10:15:00,2024-02-29 10:44,Delayed,Weather,0,14961,0
Credit Card,None,Standard,Advance,76,Liverpool Lime Street,London Euston,2024-02-21 08:00:00,2024-02-21 10:15:00,2024-02-21 11:07,Delayed,Weather,0,14963,0
Contactless,Adult,Standard,Advance,2,Manchester Piccadilly,Liverpool Lime Street,2024-02-21 09:00:00,2024-02-21 09:30:00,2024-02-21 10:02,Delayed,Signal Failure,0,14969,0
Contactless,None,First Class,Advance,10,Manchester Piccadilly,Liverpool Lime Street,2024-02-21 11:00:00,2024-02-21 11:30:00,2024-02-21 14:11,Delayed,Staff-Related,0,14979,0
Debit Card,None,Standard,Advance,84,Manchester Piccadilly,London Euston,2024-02-21 15:30:00,2024-02-21 17:20:00,2024-02-21 17:25,Delayed,Staff-Related,1,14996,0
Contactless,None,Standard,Advance,13,London Paddington,Reading,2024-02-21 15:00:00,2024-02-21 16:00:00,2024-02-21 16:42,Delayed,Technical Issue,0,15000,1
Credit Card,Adult,Standard,Advance,5,London St Pancras,Birmingham New Street,2024-02-24 15:15:00,2024-02-24 16:35:00,,Cancelled,Technical Issue,1,15001,0
Credit Card,Adult,Standard,Advance,4,London Euston,Birmingham New Street,2024-02-25 16:00:00,2024-02-25 17:20:00,2024-02-25 18:42,Delayed,Weather,0,15007,0
Contactless,Adult,Standard,Advance,2,Manchester Piccadilly,Liverpool Lime Street,2024-02-26 16:15:00,2024-02-26 16:45:00,,Cancelled,Traffic,1,15011,0
Contactless,Adult,Standard,Advance,2,Manchester Piccadilly,Liverpool Lime Street,2024-02-21 16:15:00,2024-02-21 16:45:00,,Cancelled,Weather,1,15014,0
Credit Card,None,Standard,Advance,7,Birmingham New Street,Nuneaton,2024-02-21 18:45:00,2024-02-21 19:05:00,,Cancelled,Staff-Related,1,15035,0
Contactless,None,Standard,Advance,35,London Kings Cross,York,2024-02-21 17:45:00,2024-02-21 19:35:00,2024-02-21 19:58,Delayed,Signal Failure,0,15038,0
Credit Card,Adult,Standard,Advance,5,London St Pancras,Birmingham New Street,2024-02-21 18:45:00,2024-02-21 20:05:00,,Cancelled,Signal Failure,0,15042,0
Credit Card,None,First Class,Advance,27,London Paddington,Reading,2024-02-21 21:30:00,2024-02-21 22:30:00,,Cancelled,Signal Failure,0,15056,1
Contactless,None,Standard,Advance,13,London Paddington,Reading,2024-02-21 21:30:00,2024-02-21 22:30:00,,Cancelled,Signal Failure,0,15057,1
Credit Card,None,Standard,Advance,8,York,Durham,2024-02-28 03:30:00,2024-02-28 04:20:00,2024-02-28 05:11,Delayed,Weather,0,15079,0
Credit Card,None,Standard,Anytime,151,Liverpool Lime Street,London Euston,2024-02-21 08:00:00,2024-02-21 10:15:00,2024-02-21 11:07,Delayed,Weather,0,15088,0
Credit Card,None,Standard,Anytime,25,London Paddington,Reading,2024-02-21 07:45:00,2024-02-21 08:45:00,,Cancelled,Weather,0,15090,1
Credit Card,None,Standard,Anytime,25,London Paddington,Reading,2024-02-21 07:45:00,2024-02-21 08:45:00,,Cancelled,Weather,0,15091,1
Credit Card,None,Standard,Anytime,25,London Paddington,Reading,2024-02-21 07:45:00,2024-02-21 08:45:00,,Cancelled,Weather,0,15093,1
Credit Card,None,Standard,Advance,18,London Paddington,Oxford,2024-02-22 07:45:00,2024-02-22 09:15:00,,Cancelled,Weather,0,15105,1
Credit Card,None,Standard,Advance,76,Liverpool Lime Street,London Euston,2024-02-22 08:00:00,2024-02-22 10:15:00,2024-02-22 11:00,Delayed,Weather,0,15113,0
Credit Card,None,First Class,Advance,134,Manchester Piccadilly,London Euston,2024-02-22 08:00:00,2024-02-22 09:50:00,2024-02-22 10:06,Delayed,Weather,0,15114,0
Credit Card,None,Standard,Advance,76,Liverpool Lime Street,London Euston,2024-02-25 08:00:00,2024-02-25 10:15:00,2024-02-25 11:10,Delayed,Weather,0,15115,0
Credit Card,None,Standard,Advance,76,Liverpool Lime Street,London Euston,2024-02-23 08:00:00,2024-02-23 10:15:00,2024-02-23 11:09,Delayed,Weather,0,15116,0
Contactless,None,Standard,Off-Peak,10,London Euston,Birmingham New Street,2024-02-21 11:00:00,2024-02-21 12:20:00,2024-02-21 13:15,Delayed,Staff-Related,0,15117,0
Credit Card,Adult,Standard,Off-Peak,3,Liverpool Lime Street,Manchester Piccadilly,2024-02-21 11:15:00,2024-02-21 11:45:00,2024-02-21 11:51,Delayed,Technical Issue,0,15118,0
Debit Card,Adult,Standard,Off-Peak,3,Liverpool Lime Street,Manchester Piccadilly,2024-02-21 11:15:00,2024-02-21 11:45:00,2024-02-21 11:51,Delayed,Technical Issue,1,15122,0
Debit Card,Adult,First Class,Advance,19,Birmingham New Street,Manchester Piccadilly,2024-02-27 11:15:00,2024-02-27 12:35:00,2024-02-27 12:35,Delayed,Technical Issue,1,15125,1
Contactless,None,Standard,Advance,8,London St Pancras,Birmingham New Street,2024-02-22 12:00:00,2024-02-22 13:20:00,,Cancelled,Staff-Related,1,15130,0
Contactless,None,Standard,Advance,8,London St Pancras,Birmingham New Street,2024-02-22 12:00:00,2024-02-22 13:20:00,,Cancelled,Staff-Related,0,15131,0
Debit Card,None,Standard,Advance,29,Edinburgh Waverley,London Kings Cross,2024-02-29 15:30:00,2024-02-29 19:50:00,2024-02-29 19:55,Delayed,Staff-Related,1,15145,1
Credit Card,Adult,Standard,Anytime,11,London St Pancras,Birmingham New Street,2024-02-21 18:45:00,2024-02-21 20:05:00,,Cancelled,Signal Failure,1,15151,1
Credit Card,None,Standard,Anytime,16,London St Pancras,Birmingham New Street,2024-02-21 18:45:00,2024-02-21 20:05:00,,Cancelled,Signal Failure,0,15152,1
Credit Card,None,Standard,Anytime,13,Birmingham New Street,Nuneaton,2024-02-21 18:45:00,2024-02-21 19:05:00,,Cancelled,Staff-Related,0,15154,1
Credit Card,Adult,Standard,Advance,4,London Euston,Birmingham New Street,2024-02-27 16:00:00,2024-02-27 17:20:00,2024-02-27 18:19,Delayed,Weather,0,15157,0
Contactless,Adult,Standard,Advance,7,Birmingham New Street,Manchester Piccadilly,2024-02-22 16:15:00,2024-02-22 17:35:00,,Cancelled,Weather,1,15159,0
Debit Card,Adult,Standard,Advance,56,Manchester Piccadilly,London Euston,2024-02-22 17:30:00,2024-02-22 19:20:00,2024-02-22 19:39,Delayed,Technical Issue,1,15161,0
Credit Card,None,Standard,Off-Peak,19,London Paddington,Reading,2024-02-21 21:30:00,2024-02-21 22:30:00,,Cancelled,Signal Failure,1,15173,1
Contactless,None,First Class,Advance,10,Manchester Piccadilly,Liverpool Lime Street,2024-02-26 18:45:00,2024-02-26 19:15:00,,Cancelled,Signal Failure,1,15176,0
Credit Card,None,Standard,Advance,1,Birmingham New Street,Wolverhampton,2024-02-26 18:45:00,2024-02-26 19:00:00,,Cancelled,Weather,1,15178,0
Credit Card,None,Standard,Off-Peak,17,Manchester Piccadilly,Nottingham,2024-02-22 02:00:00,2024-02-22 03:00:00,,Cancelled,Traffic,0,15201,1
Contactless,None,Standard,Advance,3,Liverpool Lime Street,Manchester Piccadilly,2024-02-25 00:15:00,2024-02-25 00:45:00,,Cancelled,Weather,0,15208,0
Credit Card,None,Standard,Anytime,151,Liverpool Lime Street,London Euston,2024-02-22 08:00:00,2024-02-22 10:15:00,2024-02-22 11:00,Delayed,Weather,0,15228,0
Credit Card,None,Standard,Anytime,151,Liverpool Lime Street,London Euston,2024-02-22 08:00:00,2024-02-22 10:15:00,2024-02-22 11:00,Delayed,Weather,0,15229,0
Credit Card,None,Standard,Anytime,151,Liverpool Lime Street,London Euston,2024-02-22 08:00:00,2024-02-22 10:15:00,2024-02-22 11:00,Delayed,Weather,0,15231,0
Credit Card,None,Standard,Anytime,151,Liverpool Lime Street,London Euston,2024-02-22 08:00:00,2024-02-22 10:15:00,2024-02-22 11:00,Delayed,Weather,0,15232,0
Credit Card,None,Standard,Advance,6,York,Doncaster,2024-02-24 06:30:00,2024-02-24 07:00:00,2024-02-24 08:29,Delayed,Traffic,0,15247,0
Credit Card,None,Standard,Advance,18,London Paddington,Oxford,2024-02-29 07:45:00,2024-02-29 09:15:00,,Cancelled,Staff-Related,0,15254,1
Credit Card,None,First Class,Advance,55,Birmingham New Street,London Euston,2024-02-27 08:00:00,2024-02-27 09:20:00,2024-02-27 09:56,Delayed,Weather,0,15259,0
Credit Card,None,First Class,Advance,118,Liverpool Lime Street,London Euston,2024-02-26 08:00:00,2024-02-26 10:15:00,,Cancelled,Staff-Related,0,15260,0
Credit Card,None,Standard,Advance,76,Liverpool Lime Street,London Euston,2024-02-27 08:00:00,2024-02-27 10:15:00,2024-02-27 11:06,Delayed,Weather,0,15261,0
Contactless,None,Standard,Off-Peak,12,London St Pancras,Birmingham New Street,2024-02-22 12:00:00,2024-02-22 13:20:00,,Cancelled,Staff-Related,0,15268,1
Credit Card,Adult,Standard,Advance,2,Liverpool Lime Street,Manchester Piccadilly,2024-02-24 11:15:00,2024-02-24 11:45:00,2024-02-24 11:55,Delayed,Technical Issue,0,15275,0
Credit Card,Adult,Standard,Anytime,9,London Euston,Birmingham New Street,2024-02-22 16:00:00,2024-02-22 17:20:00,2024-02-22 18:17,Delayed,Weather,0,15285,0
Debit Card,Disabled,Standard,Advance,4,London Euston,Birmingham New Street,2024-02-27 16:00:00,2024-02-27 17:20:00,2024-02-27 18:19,Delayed,Weather,0,15309,0
Credit Card,None,Standard,Advance,3,Manchester Piccadilly,Liverpool Lime Street,2024-02-28 17:45:00,2024-02-28 18:15:00,2024-02-28 18:59,Delayed,Traffic,0,15323,0
Credit Card,None,Standard,Advance,7,Birmingham New Street,Nuneaton,2024-02-27 18:45:00,2024-02-27 19:05:00,,Cancelled,Weather,0,15327,0
Contactless,None,Standard,Advance,8,London St Pancras,Birmingham New Street,2024-02-29 00:00:00,2024-02-29 01:20:00,,Cancelled,Technical Issue,0,15347,0
Credit Card,Adult,Standard,Off-Peak,77,Liverpool Lime Street,London Paddington,2024-02-23 03:00:00,2024-02-23 05:30:00,2024-02-23 06:07,Delayed,Staff-Related,1,15348,0
Credit Card,None,Standard,Off-Peak,126,Manchester Piccadilly,London Euston,2024-02-23 03:30:00,2024-02-23 05:20:00,2024-02-23 05:27,Delayed,Weather,0,15352,0
Credit Card,None,Standard,Advance,3,Manchester Piccadilly,Liverpool Lime Street,2024-02-26 01:30:00,2024-02-26 02:00:00,2024-02-26 02:48,Delayed,Signal Failure,1,15360,0
Contactless,None,Standard,Advance,13,London Paddington,Reading,2024-02-26 06:45:00,2024-02-26 07:45:00,,Cancelled,Weather,0,15382,1
Credit Card,None,First Class,Advance,118,Liverpool Lime Street,London Euston,2024-02-25 08:00:00,2024-02-25 10:15:00,2024-02-25 11:10,Delayed,Weather,0,15394,0
Credit Card,None,Standard,Advance,84,Manchester Piccadilly,London Euston,2024-02-24 08:00:00,2024-02-24 09:50:00,2024-02-24 10:08,Delayed,Weather,0,15395,0
Contactless,None,First Class,Advance,10,Manchester Piccadilly,Liverpool Lime Street,2024-02-25 09:00:00,2024-02-25 09:30:00,2024-02-25 11:39,Delayed,Signal Failure,0,15399,0
Debit Card,Adult,Standard,Off-Peak,11,Birmingham New Street,Manchester Piccadilly,2024-02-23 11:15:00,2024-02-23 12:35:00,2024-02-23 12:40,Delayed,Technical Issue,1,15400,1
Debit Card,Adult,Standard,Advance,2,Liverpool Lime Street,Manchester Piccadilly,2024-02-24 11:15:00,2024-02-24 11:45:00,2024-02-24 11:55,Delayed,Technical Issue,1,15404,0
Contactless,None,Standard,Advance,3,Manchester Piccadilly,Liverpool Lime Street,2024-02-24 11:00:00,2024-02-24 11:30:00,2024-02-24 14:11,Delayed,Staff-Related,0,15405,0
Contactless,None,Standard,Advance,3,Manchester Piccadilly,Liverpool Lime Street,2024-02-27 11:00:00,2024-02-27 11:30:00,2024-02-27 14:13,Delayed,Staff-Related,0,15406,0
Credit Card,Adult,Standard,Advance,5,London St Pancras,Birmingham New Street,2024-02-24 15:15:00,2024-02-24 16:35:00,,Cancelled,Technical Issue,0,15425,0
Credit Card,Adult,Standard,Advance,4,London Euston,Birmingham New Street,2024-02-25 16:00:00,2024-02-25 17:20:00,2024-02-25 18:42,Delayed,Weather,0,15428,0
Debit Card,Disabled,Standard,Advance,4,London Euston,Birmingham New Street,2024-02-27 16:00:00,2024-02-27 17:20:00,2024-02-27 18:19,Delayed,Weather,0,15429,0
Contactless,Adult,Standard,Advance,2,Manchester Piccadilly,Liverpool Lime Street,2024-02-26 16:15:00,2024-02-26 16:45:00,,Cancelled,Traffic,0,15431,0
Credit Card,None,Standard,Advance,7,London Euston,Birmingham New Street,2024-02-29 20:00:00,2024-02-29 21:20:00,,Cancelled,Staff-Related,0,15449,0
Credit Card,None,Standard,Off-Peak,5,Liverpool Lime Street,Manchester Piccadilly,2024-02-24 04:30:00,2024-02-24 05:00:00,,Cancelled,Traffic,0,15464,0
Credit Card,None,Standard,Advance,3,Liverpool Lime Street,Manchester Piccadilly,2024-02-26 02:00:00,2024-02-26 02:30:00,,Cancelled,Traffic,0,15466,0
Contactless,None,Standard,Off-Peak,4,Manchester Piccadilly,Liverpool Lime Street,2024-02-24 11:00:00,2024-02-24 11:30:00,2024-02-24 14:11,Delayed,Staff-Related,0,15497,0
Credit Card,None,Standard,Advance,76,Liverpool Lime Street,London Euston,2024-02-27 08:00:00,2024-02-27 10:15:00,2024-02-27 11:06,Delayed,Weather,0,15498,0
Credit Card,None,First Class,Advance,118,Liverpool Lime Street,London Euston,2024-02-28 08:00:00,2024-02-28 10:15:00,2024-02-28 10:46,Delayed,Weather,0,15499,0
Contactless,None,Standard,Advance,35,London Kings Cross,York,2024-02-25 12:15:00,2024-02-25 14:05:00,,Cancelled,Signal Failure,1,15512,0
Credit Card,Disabled,Standard,Off-Peak,7,London Euston,Birmingham New Street,2024-02-24 15:30:00,2024-02-24 16:50:00,,Cancelled,Weather,1,15514,0
Credit Card,None,Standard,Advance,3,Liverpool Lime Street,Manchester Piccadilly,2024-02-27 13:45:00,2024-02-27 14:15:00,,Cancelled,Traffic,0,15522,0
Credit Card,None,Standard,Advance,3,Manchester Piccadilly,Liverpool Lime Street,2024-02-28 17:45:00,2024-02-28 18:15:00,2024-02-28 18:59,Delayed,Traffic,0,15537,0
Credit Card,None,Standard,Advance,72,London Euston,Manchester Piccadilly,2024-02-29 18:45:00,2024-02-29 20:35:00,,Cancelled,Technical Issue,0,15543,0
Contactless,Disabled,Standard,Off-Peak,8,York,Durham,2024-02-25 23:45:00,2024-02-25 00:35:00,,Cancelled,Signal Failure,0,15556,0
Contactless,Disabled,Standard,Off-Peak,8,York,Durham,2024-02-25 23:45:00,2024-02-25 00:35:00,,Cancelled,Signal Failure,1,15557,0
Credit Card,Disabled,Standard,Advance,15,Birmingham New Street,London St Pancras,2024-02-28 06:30:00,2024-02-28 07:50:00,,Cancelled,Weather,0,15579,1
Credit Card,None,Standard,Advance,76,Liverpool Lime Street,London Euston,2024-02-27 08:00:00,2024-02-27 10:15:00,2024-02-27 11:06,Delayed,Weather,0,15585,0
Contactless,None,Standard,Advance,6,Birmingham New Street,Liverpool Lime Street,2024-02-26 08:00:00,2024-02-26 09:30:00,,Cancelled,Signal Failure,1,15586,0
Contactless,None,Standard,Off-Peak,4,Manchester Piccadilly,Liverpool Lime Street,2024-02-25 11:00:00,2024-02-25 11:30:00,2024-02-25 12:01,Delayed,Staff-Related,0,15587,0
Credit Card,None,Standard,Advance,84,Manchester Piccadilly,London Euston,2024-02-26 08:00:00,2024-02-26 09:50:00,2024-02-26 10:44,Delayed,Weather,0,15588,0
Contactless,Adult,Standard,Advance,8,Manchester Piccadilly,Nottingham,2024-02-26 09:00:00,2024-02-26 10:00:00,2024-02-26 11:05,Delayed,Signal Failure,0,15593,0
Credit Card,Adult,Standard,Off-Peak,7,London Euston,Birmingham New Street,2024-02-25 16:00:00,2024-02-25 17:20:00,2024-02-25 18:42,Delayed,Weather,0,15603,0
Debit Card,Disabled,Standard,Off-Peak,7,London Euston,Birmingham New Street,2024-02-25 16:00:00,2024-02-25 17:20:00,2024-02-25 18:42,Delayed,Weather,0,15604,0
Debit Card,None,Standard,Advance,21,Birmingham New Street,London Euston,2024-02-26 15:30:00,2024-02-26 16:50:00,2024-02-26 16:57,Delayed,Staff-Related,1,15612,1
Credit Card,Adult,Standard,Advance,4,London Euston,Birmingham New Street,2024-02-27 16:00:00,2024-02-27 17:20:00,2024-02-27 18:19,Delayed,Weather,0,15621,0
Credit Card,None,First Class,Advance,10,Manchester Piccadilly,Liverpool Lime Street,2024-02-28 17:45:00,2024-02-28 18:15:00,2024-02-28 18:59,Delayed,Traffic,0,15627,0
Credit Card,None,Standard,Advance,7,Birmingham New Street,Nuneaton,2024-02-27 18:45:00,2024-02-27 19:05:00,,Cancelled,Weather,0,15628,0
Debit Card,Senior,Standard,Advance,48,London Euston,Manchester Piccadilly,2024-02-29 18:45:00,2024-02-29 20:35:00,,Cancelled,Technical Issue,1,15631,0
Credit Card,None,Standard,Advance,84,Manchester Piccadilly,London Euston,2024-02-27 03:30:00,2024-02-27 05:20:00,2024-02-27 05:39,Delayed,Weather,0,15641,0
Contactless,Adult,Standard,Off-Peak,10,Manchester Piccadilly,Leeds,2024-02-26 09:00:00,2024-02-26 09:45:00,2024-02-26 12:22,Delayed,Signal Failure,0,15651,0
Debit Card,Senior,Standard,Advance,50,Liverpool Lime Street,London Euston,2024-02-27 09:30:00,2024-02-27 11:45:00,2024-02-27 12:05,Delayed,Traffic,1,15672,0
Contactless,Adult,Standard,Anytime,3,Manchester Piccadilly,Liverpool Lime Street,2024-02-26 16:15:00,2024-02-26 16:45:00,,Cancelled,Traffic,0,15674,0
Debit Card,None,Standard,Off-Peak,43,Edinburgh Waverley,London Kings Cross,2024-02-26 15:30:00,2024-02-26 19:50:00,2024-02-26 20:03,Delayed,Staff-Related,1,15675,0
Credit Card,None,Standard,Anytime,5,Manchester Piccadilly,Liverpool Lime Street,2024-02-26 17:45:00,2024-02-26 18:15:00,,Cancelled,Technical Issue,0,15676,0
Credit Card,None,Standard,Advance,3,Manchester Piccadilly,Liverpool Lime Street,2024-02-28 17:45:00,2024-02-28 18:15:00,2024-02-28 18:59,Delayed,Traffic,0,15687,0
